Node	Time	Old_population	New_population
99	0.536562806569019	39	199
764	0.5364812220318526	86	183
1850	0.5364625579811549	93	31
1345	0.536461533303647	195	0
1835	0.5361499950483307	30	24
1718	0.5357215081011212	160	138
506	0.5355418253671143	56	0
204	0.535537903216867	101	93
242	0.5350055886648601	189	87
844	0.5350033346785388	151	86
521	0.5347212054836359	57	94
1825	0.5346794706640495	135	206
979	0.5336724510495432	115	71
1794	0.5336295985515234	51	0
274	0.5335907620536625	24	196
1746	0.532745101829573	41	151
1729	0.5327450732637686	30	195
183	0.5324834084660481	30	133
1631	0.5323768897407635	138	0
864	0.5321472543061881	6	147
1667	0.5315709762003865	52	195
1757	0.5309810153847299	64	152
1879	0.5308556294156768	206	138
1465	0.5307214046885244	151	17
1121	0.5305174641405832	147	199
1480	0.5300463724626757	35	138
1716	0.5299416071981117	56	23
1727	0.5299081910873742	46	64
1855	0.5297168844303345	195	39
1434	0.5296880779097007	199	24
1786	0.5296611800597701	195	147
1755	0.5294554645859305	101	86
1432	0.5294424728159376	96	0
1752	0.529194526890866	160	193
77	0.5287672859720417	0	88
1871	0.5283067696345162	137	115
1856	0.5281361044013193	78	86
1872	0.5280308306121058	90	51
1874	0.5276996217562772	195	41
1487	0.5274468247637357	93	78
1818	0.5273716256208268	154	76
113	0.5271875693949428	135	206
1859	0.5270458446911742	101	93
1769	0.5269695306339867	161	86
1713	0.5263998276657839	161	194
801	0.5256509125462776	197	160
1776	0.5254218891540843	133	195
1811	0.5249279744051468	133	195
1683	0.5248268748964815	133	39
1854	0.5243577610229714	151	1
1074	0.5235727734968053	56	15
1877	0.5232936131885417	195	30
1890	0.5232409811644753	195	46
1556	0.5226849780829195	206	132
1717	0.522536940150577	16	138
1886	0.5220961074074697	199	190
1684	0.5214756041183677	46	195
1922	0.5212717798041445	134	206
1862	0.5211167996352708	202	93
1908	0.5210156429499132	183	0
1918	0.5203826030847413	135	94
1900	0.5201207919356569	93	90
1898	0.5197413980127882	16	137
1870	0.5175683497956762	101	86
1427	0.5173423042213653	150	149
980	0.5171001984192134	206	135
1845	0.516486188904601	86	54
1888	0.5155339536411905	93	35
1466	0.5148873088336278	52	39
1895	0.5139242792121506	183	96
1664	0.5129648460215738	101	83
1935	0.5128212945212428	62	16
1815	0.5121966944207437	30	133
1237	0.512132255489888	24	46
1604	0.5115374967834484	46	8
1880	0.5113063182801884	195	6
1847	0.5100136756188088	15	46
803	0.5096161236499016	56	45
1952	0.5092397982365827	93	101
1950	0.5088158431630669	199	52
1954	0.5080536027281951	183	86
1972	0.5080376502443962	96	183
1072	0.5076771383323561	123	0
1291	0.5075130433556714	24	133
1705	0.507305153567935	62	138
1975	0.5071612030833192	199	24
1731	0.5067078694506151	151	0
1678	0.5066369371612076	160	46
31	0.5062356916098327	0	160
1960	0.5057682330906549	195	46
1932	0.5057106176984023	0	135
1503	0.503898269148358	0	88
434	0.5037339351747324	195	0
870	0.5029564060354919	86	0
792	0.5024066657855106	183	133
1471	0.5023783704028439	62	187
273	0.5023253237954187	0	88
1978	0.5019245250283619	152	151
1569	0.5008443209879271	133	6
296	0.5001223309082812	86	0
1983	0.49920283004293764	150	93
2001	0.49636773800665757	149	9
610	0.49623970487928	41	139
1802	0.49614107190877416	30	29
1946	0.49571472690498924	202	86
1477	0.49564140603719603	195	30
1858	0.49556533348466253	93	150
1968	0.49543539341641696	202	93
1635	0.495161291638622	199	195
1399	0.494113277606647	195	74
1804	0.4939461203183885	202	96
736	0.49236367535128267	24	147
1988	0.49148184399089717	86	0
1913	0.4910455724177248	202	183
1984	0.4907800734412403	30	195
1138	0.4901613718021399	133	40
1893	0.490115937541748	62	195
2006	0.4901125453926542	133	30
1715	0.4889372812240854	30	195
1824	0.4889149677562801	30	195
1789	0.4882259805166077	195	24
1587	0.4880192315220423	151	0
1985	0.48795197061821427	134	0
2012	0.48698201559450655	24	199
1211	0.4865675076179692	81	39
1966	0.48444143067693135	64	56
1440	0.48438777477410483	40	81
1781	0.4839765231396642	46	195
2035	0.4838321391554252	195	40
2037	0.4827696554828579	101	46
544	0.48247983973594827	74	195
2004	0.48204656408628554	93	149
1910	0.481754681701098	195	161
1996	0.48166175039778647	195	139
1551	0.48146657302977597	56	46
2052	0.47866934547568407	153	24
1963	0.47759078312940795	199	6
555	0.4775329965149676	86	0
796	0.4766008821219759	0	86
1959	0.47656864045020686	153	133
1903	0.4760753117578633	202	93
2034	0.4758871449864671	46	64
1947	0.4757145573463023	202	101
2044	0.47537770040885896	195	93
2014	0.47512611474241095	46	195
1082	0.4744800871495524	138	106
2058	0.470921707334846	195	153
1911	0.4690464071995016	46	140
2049	0.468443529459615	202	183
863	0.4682332193787105	195	41
928	0.46602023256553626	123	16
1970	0.46550499643726834	86	0
473	0.46341591961324485	138	0
1560	0.46318177307394015	15	189
1002	0.4625889155492628	123	62
1899	0.4616389054496859	57	0
2066	0.4611492628638436	133	30
2023	0.4595176540210944	57	62
1999	0.45913866042657964	189	86
2081	0.45299791317784005	189	15
1707	0.4509078403099073	176	195
215	0.4486918353533265	1	0
2091	0.4474857309185947	133	199
904	0.446420063816259	88	86
599	0.44023396479746807	83	86
2086	0.4393711877184454	0	132
2094	0.43832840894947506	134	202
968	0.4362978122001316	14	83
1000	0.43486473288963157	0	162
1451	0.43244542883557385	66	0
115	0.43144709590131924	0	54
2003	0.4308845132911478	46	152
255	0.4291182277928848	11	0
2113	0.4282385299545814	193	66
262	0.42566820090784574	46	189
954	0.42518617735710346	183	86
76	0.4240401653965623	86	0
167	0.4235308688158328	0	11
984	0.4231517931656062	133	176
450	0.42159542227216507	0	178
403	0.4197431244594817	14	151
998	0.4197344236000669	122	159
315	0.41954115104874706	86	123
195	0.41949917895597794	1	86
410	0.41747278110105046	160	195
988	0.41598225244074266	90	51
2030	0.4112609361579966	5	206
2118	0.40816770707473504	160	193
457	0.40801176202716	133	147
1315	0.40753134224803694	0	151
989	0.407512169687776	86	108
114	0.40613245479528753	86	183
1182	0.40489181095670407	87	195
906	0.40346074984239455	206	135
564	0.40304665968989106	206	135
1280	0.40202861244670385	0	183
853	0.4016951775722079	86	0
2027	0.4016508513277809	133	195
2148	0.4004805652652731	0	86
2160	0.3970351831438434	56	39
2111	0.396766187938143	0	87
1964	0.3966926359403978	90	51
1129	0.395158612094166	46	62
916	0.394117520094654	133	195
17	0.39179360748372555	187	54
1086	0.3903424673742519	86	0
991	0.38999928760268565	140	24
2129	0.3890322106335974	64	46
169	0.3880080703443863	86	0
2134	0.38703760408058674	0	1
409	0.3870126652423045	87	0
1039	0.38681936842702774	122	54
18	0.38593255000753823	0	14
63	0.3856773058193189	0	189
713	0.3801680421165412	122	86
515	0.38008656613605757	0	86
369	0.3770780320249746	83	0
514	0.3770125645927672	156	24
2138	0.3769673067660901	151	0
1508	0.3765156349466616	0	86
2153	0.3758096194052551	138	206
963	0.3757129816198947	0	8
776	0.3738587848646748	0	83
615	0.3729073493529786	5	135
2182	0.37142168065124603	95	160
415	0.3713654466597535	0	151
1785	0.37132515660026905	83	151
2166	0.37127338872112287	159	90
2163	0.370437055212081	3	90
1654	0.366872769401273	147	133
2150	0.3667313986102302	86	3
1418	0.36576312890556817	54	86
1065	0.3553586153884852	51	171
2125	0.3542744409278039	189	3
2121	0.3482719706450905	166	46
2048	0.3466381418393836	0	57
956	0.34399321023001594	9	195
2087	0.3439536889318887	138	35
1247	0.3410191483005981	0	86
2168	0.3403107147054854	24	146
2176	0.34020152297333617	0	87
2180	0.33927985330987603	54	86
2149	0.3392118879396157	1	0
1007	0.33851093230522794	138	37
312	0.33837999024632115	138	0
2123	0.3376566528153104	0	86
2136	0.33727186217680355	123	0
165	0.336864129590943	86	83
2222	0.33616673268141123	86	9
261	0.334761638765438	88	0
2122	0.3345364201608737	0	88
2198	0.33048096377227226	0	86
2097	0.32774734599542016	24	147
2203	0.3274789091198389	101	83
2226	0.3255073836745479	0	24
1325	0.32512410679713943	0	1
2154	0.32148375788079664	151	0
698	0.32129211090474336	189	160
2100	0.31915493194710504	0	178
2142	0.31702751664259604	86	14
2253	0.31613413615060926	93	24
965	0.3151563011027902	86	0
405	0.31296109673443206	115	0
613	0.3111808335589622	183	86
2256	0.3086924330641757	86	93
2151	0.3084006658225172	187	54
2221	0.3066355244624123	124	0
2147	0.3047237111551709	150	86
2152	0.30111977466242335	183	206
2247	0.3010318473514742	86	0
1024	0.2994682204554455	138	135
2272	0.29926960717747075	101	183
2119	0.2978970465289614	101	133
2156	0.2949633640505931	45	28
2250	0.29380761525466487	138	86
2175	0.29367017452261573	67	0
1676	0.29240956656586914	86	0
2172	0.29201034491933353	159	0
1209	0.2889115896731874	54	56
50	0.28704092534616865	3	90
2108	0.2862605339258875	54	165
2161	0.2862350697948303	5	0
234	0.28443582517688	86	183
2286	0.28384259188105493	0	3
2257	0.27842981696465047	5	0
2047	0.27547726923292437	6	24
2267	0.2752607315002897	138	35
2213	0.2742408129485466	0	54
2167	0.2687931264070118	5	86
2216	0.2664111340765003	189	122
2283	0.26484549374572003	189	159
2251	0.2624940076507864	54	151
1185	0.2624679513886192	54	138
2301	0.2610630082586905	86	5
2130	0.2558862096227854	171	115
2238	0.25315060180957416	0	88
2245	0.25061311817684523	54	162
2277	0.2497969039993325	0	86
2269	0.24889415407599128	54	124
2317	0.24522931352764807	0	86
1011	0.2278709704324546	54	0
2241	0.22566857635425697	0	86
2322	0.205942860883179	54	0
2334	0.20125236279833922	0	54
2325	0.19680931981067779	0	86
2289	0.19140959036005536	0	62
2310	0.18369872230804163	137	123
2311	0.18189384495758748	137	123
2293	0.15643939020014375	62	151
2225	0.13303766204149403	54	178
2338	0.12548822558119352	35	138
2064	0.11581360849039557	35	138
2344	0.108517574390133	0	62
2347	0.09170454576603361	138	35
2348	0.09093687604327157	54	0
2349	0.08930908681719098	54	138
2296	0.07888427644410953	0	206
2337	0.04107558406930022	0	5
2351	0.016245408458401677	0	54
0	0.828454712302743	24	195
2	0.8283605077788191	0	154
3	0.8282383411591154	151	195
4	0.8282204712714473	86	64
5	0.828193115101552	0	195
6	0.828193035466946	24	195
7	0.8281912321827039	101	58
9	0.828177402610475	24	195
10	0.8281515538748402	152	195
11	0.8280871184520014	135	64
12	0.8279983829092734	86	64
13	0.8279463708645868	123	86
14	0.8279313206068846	150	195
15	0.8278893520592748	0	64
16	0.8278700182951026	93	195
17	0.8278604504484426	187	64
18	0.827851169331296	0	195
20	0.8276627578994025	133	64
21	0.8276500002344819	139	195
22	0.8275985618290587	24	37
24	0.8274962895950199	133	64
25	0.8273949547837134	86	64
26	0.8273898023105218	138	195
27	0.8273895361340761	24	195
28	0.8273663428769925	41	195
29	0.8273375133487808	195	64
30	0.8272728421697273	0	64
31	0.8272567055233628	0	58
32	0.827192019672489	0	37
33	0.8271562419487575	168	64
34	0.8271478510912614	93	195
35	0.8270744201703797	195	64
36	0.8270184285207454	133	195
37	0.8270106750745349	79	195
38	0.8270011771414206	123	195
40	0.8269598546266774	134	64
42	0.8269226543633864	199	195
43	0.826917601000538	0	195
44	0.8269039994060334	86	195
46	0.8268417612574196	86	64
47	0.8267771826699701	0	64
49	0.8266935966506356	50	195
50	0.8266809386681746	3	195
51	0.8266472091986471	171	195
52	0.8266294519570704	162	195
53	0.8265715848251095	24	195
54	0.8265610724777299	206	154
56	0.8265229462911998	24	64
57	0.8264764062623229	197	195
58	0.8263795010925664	0	195
59	0.8263667871465062	133	195
60	0.8263353292914537	160	64
61	0.8262848985606901	171	64
62	0.8262699997130597	86	64
63	0.8262410659404812	0	58
64	0.826072693697831	151	64
65	0.8260490688353918	133	64
66	0.8260342165527172	187	64
67	0.8259940354566272	79	195
68	0.8259792185557273	206	195
69	0.8257720233503212	79	64
70	0.8257370538757044	46	64
71	0.8257280943940428	101	195
72	0.8256948267397031	24	64
73	0.8256551988299818	39	195
74	0.8256325901011956	152	64
75	0.8256202219110157	41	64
76	0.8255790918661423	86	169
77	0.8255444190276915	0	86
78	0.8255179847583579	189	195
79	0.82549468510841	86	195
80	0.8254881514401676	124	64
81	0.825357438118547	133	195
82	0.825351708598812	56	64
83	0.8253346737794327	195	64
84	0.8253114298813109	79	5
86	0.8252517591049675	46	195
87	0.8252406740846775	172	195
88	0.825157058925978	0	195
89	0.8250727696580377	0	64
90	0.8250655718052278	0	64
92	0.8249198346311748	30	195
93	0.824878570230064	133	195
94	0.8248362717387954	0	64
95	0.82478598775943	86	64
96	0.8247222440121221	46	195
97	0.824635800754748	96	64
98	0.8246333419352488	192	86
99	0.8245965614202239	39	195
100	0.8245314128399189	189	64
101	0.8245147645266658	199	195
102	0.8244849506790825	30	195
103	0.8244610293896405	79	132
105	0.8243399725956831	31	151
106	0.8243128657039723	0	64
107	0.8243115255095209	150	195
108	0.8242922750496418	0	195
109	0.8242734481447671	202	195
111	0.8242465078511862	138	64
112	0.8242284747313466	195	64
113	0.8241740987313521	135	64
114	0.8241469334763755	86	64
115	0.8241367325776828	0	57
116	0.8241255428538267	83	195
117	0.8241225607433851	147	64
118	0.8240654889569563	138	132
119	0.824023738140487	24	195
120	0.8240188358147826	133	195
121	0.8239711933408334	93	64
122	0.8237856043501753	56	195
123	0.8237205060980702	101	169
124	0.8237134558415204	0	64
125	0.8237027503292057	39	86
126	0.8236525708581497	46	141
127	0.823574183944055	199	64
128	0.8235522443514405	0	195
129	0.8235035233278604	24	86
130	0.8234563330321067	62	64
131	0.8234534020609399	168	195
132	0.8234182989209016	48	64
133	0.8234169133801608	41	195
134	0.8233966675952766	101	86
135	0.8232853429189098	195	30
136	0.8232432875452529	149	195
137	0.8232293109511419	86	195
138	0.823153152224157	0	195
139	0.8230817119177744	129	64
141	0.82302757318757	62	86
143	0.8229492299993253	79	195
144	0.8229129614934365	88	64
145	0.8228574706414192	79	151
148	0.8227518870938334	6	195
149	0.8227215903160285	86	64
150	0.8226795956306219	83	195
151	0.8226770873302268	56	64
152	0.8226649975878805	133	86
153	0.8226325596997922	86	195
154	0.8226127429194818	79	195
155	0.822540414427856	206	64
156	0.8225205801181698	86	195
157	0.8225179501462923	62	64
158	0.8225076767732572	0	206
159	0.8224705170153176	6	195
160	0.8224584176805763	46	64
161	0.8224210564046046	0	64
162	0.822419794545832	96	195
164	0.8222241357570046	79	133
165	0.82222188953149	86	151
166	0.8222216008879154	146	195
167	0.8221974726526837	0	64
168	0.8221884542259015	152	53
169	0.8221028524289132	86	64
170	0.8220764865759722	24	195
171	0.8220538188629054	86	195
172	0.8220094057737782	0	195
173	0.8219576793510546	101	195
